# peacockdb cost-model calibration record. One row per call — per
# (plan node, recipe step, call index), not per node and not per output partition: one
#   plan node publishes several recipe steps, and a batched run drives each of them once
#   per batch per lane. A call answering with several output partitions is still one row,
#   its cost summed over the regions it opened.
# A benchmark executes its plan several times and writes every measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, mode, node_seq, recipe_seq, call_index) recurs once per execution,
#   told apart by run_index. Spread across executions is data.
# One file is one run. The `# run:` lines below hold what is constant across it, and each
#   of them changes what the microseconds mean — so appending a run that disagrees with
#   them is refused rather than merged.
# capture = which Nsight pass measured this, `none` for a plain run. Tracing and the
#   memory counters each cost the query several percent, so a captured run writes this
#   file and never the .benchmark.txt tree.
# mode = the batch-partitioned planning mode, `tp4-sized` and the like. The same query
#   at two modes is a different plan and a different set of calls.
# node_seq = the node's position in the tree, post-order — the same space recipe_seq is
#   in. The driver numbers nodes pre-order, so this is a translation and not the index a
#   report is walked by.
# lane = the lane the node was driven on. A scatter is driven on one and emits into four,
#   a cross-lane accumulator the other way round; a call belongs to the driving one.
# recipe_seq = the seq the call addressed in the FlatBuffers plan. Deliberately a different
#   index from node_seq: one plan node with two calls is one tree position and two fb ones.
# recipe_kind = what the call addressed: the fb node kind, `CudfAggregate{Partial}` and
#   the like, or the ABI symbol for the two calls that address no wire node — a slice and
#   an export. Redundant given the plan, and written so a row is readable without one.
# call_index = which call of this recipe_seq the session had reached, 0 for the first.
#   The number C++ counts to independently, and the key the two halves of a measurement
#   meet on.
# run_index = which execution of the case, 0 for the first measured one — the warm-up is
#   not written. Derivable from a repeat of call_index 0 and written anyway, so that a
#   file joined against this one (hbm.tsv) names the same execution by the same number
#   rather than by its own count of the same boundary.
# in_rows/in_bytes = what the caller handed over, summed over the call's input slots. For
#   a call in the middle of a node's chain, what the call before it answered with — which
#   is the only side that ever priced that handle.
# out_rows/out_bytes = what the call answered with, summed over its output partitions.
#   Priced on this side from the rows the ABI reported and the schema that output belongs
#   to; C++ prices nothing. The two calls no batch is built from — an aggregate before its
#   finalize, the concat before a merge — are priced with the node's intermediate schema.
# host_us = the steady clock across the whole call, summed over its regions. Not launch
#   cost: cuDF and rmm synchronize internally, so it follows device_us closely.
# device_us = between the region's CUDA events, on the one stream everything is issued
#   to. An interval of that stream, not a figure for the device as a whole.
# hbm_bytes is not here: it comes from Nsight and joins on the same tuple.
# run: timing_mode=events
# run: build=release
# run: allocator=rmm-pool initial=69.0GiB max=69.0GiB of 139.3GiB free on a discrete device
# run: capture=none
dataset	sf	query	mode	node_seq	node_type	lane	recipe_seq	recipe_kind	call_index	run_index	in_rows	in_bytes	out_rows	out_bytes	host_us	device_us
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	1	240012290	19449460578	5143062	290583004	52956	53077
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	1	0	0	240012290	19449460578	238314	242431
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	2	1	17	1	17	67	66
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	2	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	2	1	17	1	17	24	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	2	1	17	1	17	537	159
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	2	1	17	1	17	8	7
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	2	4526	145964	1	17	353	762
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	2	5162405	291265014	4526	145964	3940	3833
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	2	19343	682010	19343	682010	118	117
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	2	8000000	288601447	19343	682010	6673	6671
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	2	0	0	8000000	288601447	15636	15634
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	2	240012290	19449460578	5143062	290583004	52962	53082
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	2	0	0	240012290	19449460578	237723	241841
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	3	1	17	1	17	67	66
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	3	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	3	1	17	1	17	9	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	3	1	17	1	17	528	155
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	3	1	17	1	17	8	7
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	3	4526	145964	1	17	367	764
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	3	5162405	291265014	4526	145964	3925	3817
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	3	19343	682010	19343	682010	122	121
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	3	8000000	288601447	19343	682010	6649	6648
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	3	0	0	8000000	288601447	15581	15579
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	3	240012290	19449460578	5143062	290583004	52959	53081
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	3	0	0	240012290	19449460578	237225	241347
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	4	1	17	1	17	67	66
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	4	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	4	1	17	1	17	8	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	4	1	17	1	17	547	162
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	4	1	17	1	17	9	8
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	4	4526	145964	1	17	357	758
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	4	5162405	291265014	4526	145964	3937	3833
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	4	19343	682010	19343	682010	127	126
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	4	8000000	288601447	19343	682010	6684	6683
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	4	0	0	8000000	288601447	15615	15613
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	4	240012290	19449460578	5143062	290583004	52932	53052
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	4	0	0	240012290	19449460578	237814	241934
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	5	1	17	1	17	67	66
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	5	1	17	1	17	9	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	5	1	17	1	17	9	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	5	1	17	1	17	553	160
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	5	1	17	1	17	9	7
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	5	4526	145964	1	17	357	766
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	5	5162405	291265014	4526	145964	3908	3802
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	5	19343	682010	19343	682010	140	139
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	5	8000000	288601447	19343	682010	6628	6627
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	5	0	0	8000000	288601447	15502	15500
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	5	240012290	19449460578	5143062	290583004	52955	53075
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	5	0	0	240012290	19449460578	237050	241167
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	6	1	17	1	17	67	65
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	6	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	6	1	17	1	17	8	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	6	1	17	1	17	542	160
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	6	1	17	1	17	9	8
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	6	4526	145964	1	17	355	753
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	6	5162405	291265014	4526	145964	3953	3845
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	6	19343	682010	19343	682010	132	130
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	6	8000000	288601447	19343	682010	6625	6623
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	6	0	0	8000000	288601447	15563	15561
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	6	240012290	19449460578	5143062	290583004	52937	53059
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	6	0	0	240012290	19449460578	237119	241245
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	7	1	17	1	17	67	66
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	7	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	7	1	17	1	17	8	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	7	1	17	1	17	543	157
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	7	1	17	1	17	8	7
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	7	4526	145964	1	17	354	755
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	7	5162405	291265014	4526	145964	3945	3837
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	7	19343	682010	19343	682010	118	116
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	7	8000000	288601447	19343	682010	6630	6629
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	7	0	0	8000000	288601447	15554	15552
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	7	240012290	19449460578	5143062	290583004	52940	53061
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	7	0	0	240012290	19449460578	238180	242301
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	8	1	17	1	17	69	68
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	8	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	8	1	17	1	17	9	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	8	1	17	1	17	542	155
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	8	1	17	1	17	8	7
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	8	4526	145964	1	17	373	778
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	8	5162405	291265014	4526	145964	3947	3840
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	8	19343	682010	19343	682010	120	119
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	8	8000000	288601447	19343	682010	6670	6668
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	8	0	0	8000000	288601447	15732	15731
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	8	240012290	19449460578	5143062	290583004	52978	53100
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	8	0	0	240012290	19449460578	238257	242379
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	9	1	17	1	17	68	66
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	9	1	17	1	17	6	5
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	9	1	17	1	17	9	3
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	9	1	17	1	17	522	153
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	9	1	17	1	17	8	7
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	9	4526	145964	1	17	370	764
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	9	5162405	291265014	4526	145964	3940	3832
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	9	19343	682010	19343	682010	120	119
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	9	8000000	288601447	19343	682010	6682	6680
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	9	0	0	8000000	288601447	15605	15603
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	9	240012290	19449460578	5143062	290583004	52947	53069
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	9	0	0	240012290	19449460578	237009	241128
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	0	1	17	1	17	71	70
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	0	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	0	1	17	1	17	7	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	0	1	17	1	17	11056	192
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	0	1	17	1	17	9	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	0	4565749	147245406	1	17	682	11506
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	0	36618240	1922457600	4565749	147245406	4630	4076
tpch	40	q6	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	0	0	0	36618240	1922457600	32110	32734
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	1	1	17	1	17	50	49
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	1	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	1	1	17	1	17	9	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	1	1	17	1	17	11022	211
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	1	1	17	1	17	9	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	1	4565749	147245406	1	17	682	11456
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	1	36618240	1922457600	4565749	147245406	4650	4097
tpch	40	q6	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	1	0	0	36618240	1922457600	31642	32267
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	2	1	17	1	17	57	55
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	2	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	2	1	17	1	17	8	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	2	1	17	1	17	10966	208
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	2	1	17	1	17	10	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	2	4565749	147245406	1	17	696	11416
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	2	36618240	1922457600	4565749	147245406	4633	4079
tpch	40	q6	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	2	0	0	36618240	1922457600	31807	32432
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	3	1	17	1	17	70	68
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	3	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	3	1	17	1	17	19	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	3	1	17	1	17	10837	197
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	3	1	17	1	17	9	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	3	4565749	147245406	1	17	736	11361
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	3	36618240	1922457600	4565749	147245406	4721	4173
tpch	40	q6	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	3	0	0	36618240	1922457600	31834	32448
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	4	1	17	1	17	54	53
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	4	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	4	1	17	1	17	8	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	4	1	17	1	17	11020	187
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	4	1	17	1	17	9	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	4	4565749	147245406	1	17	684	11481
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	4	36618240	1922457600	4565749	147245406	4616	4071
tpch	40	q6	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	4	0	0	36618240	1922457600	31833	32459
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	5	1	17	1	17	55	54
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	5	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	5	1	17	1	17	8	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	5	1	17	1	17	10964	190
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	5	1	17	1	17	9	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	5	4565749	147245406	1	17	683	11420
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	5	36618240	1922457600	4565749	147245406	4628	4075
tpch	40	q6	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	5	0	0	36618240	1922457600	31674	32298
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	6	1	17	1	17	52	51
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	6	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	6	1	17	1	17	8	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	6	1	17	1	17	11028	184
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	6	1	17	1	17	9	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	6	4565749	147245406	1	17	695	11501
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	6	36618240	1922457600	4565749	147245406	4632	4080
tpch	40	q6	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	6	0	0	36618240	1922457600	32410	33036
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	7	1	17	1	17	59	58
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	7	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	7	1	17	1	17	10	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	7	1	17	1	17	11110	219
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	7	1	17	1	17	10	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	7	4565749	147245406	1	17	732	11613
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	7	36618240	1922457600	4565749	147245406	4734	4182
tpch	40	q6	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	7	0	0	36618240	1922457600	31798	32412
tpch	40	q6	tp1-single	5	GpuUnload	0	6	result_from_handle	1	8	1	17	1	17	51	50
tpch	40	q6	tp1-single	4	GpuProject	0	6	CudfProject	0	8	1	17	1	17	6	5
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	8	1	17	1	17	8	3
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	8	1	17	1	17	11038	192
tpch	40	q6	tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	8	1	17	1	17	9	8
tpch	40	q6	tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	8	4565749	147245406	1	17	685	11493
tpch	40	q6	tp1-single	1	GpuFilter	0	1	CudfFilter	0	8	36618240	1922457600	4565749	147245406	4660	4110
